founder_id	mother_vial_id	vial_id	treatment	males	females
CC100	CC107	CC107a	18	11	5
CC100	CC107	CC107b	18	9	6
CC100	CC108	CC108a	25	20	8
CC100	CC108	CC108c	25	13	5
CC100	CC108	CC108d	25	24	4
CC100	CC110	CC110a	25	12	3
CC100	CC113	CC113b	25	3	1
CC100	CC113	CC113c	25	1	4
CC100	CC113	CC113e	25	22	8
CC100	CC114	CC114b	25	1	
CC100	CC114	CC114c	25	26	9
CC100	CC114	CC114e	25	1	0
CC100	CC115	CC115b	12	0	1
CC100	CC115	CC115c	12	1	3
CC100	CC115	CC115d	12	0	2
CC100	CC115	CC115e	12	4	6
DD100	DD101	DD101a	25	7	1
DD100	DD101	DD101b	25	5	10
DD100	DD101	DD101c	25	15	9
DD100	DD101	DD101e	25	19	4
DD100	DD102	DD102a	25	10	8
DD100	DD102	DD102b	25	1	2
DD100	DD102	DD102e	25	1	2
DD100	DD103	DD103b	12	1	5
DD100	DD103	DD103d	12	0	1
DD100	DD106	DD106b	12	3	2
DD100	DD106	DD106c	12	17	14
DD100	DD106	DD106d	12	0	1
DD100	DD106	DD106e	12	14	19
